,question,answer,response,mapping,response_answer,equations,
786,Some children were riding on the bus. At the bus stop c0 more children got on the bus. Then there were c1 children altogether on the bus.How many children were riding on the bus before the bus stop?,39,"There were already some children on the bus before c0 more children got on. Let's call the original number of children c2. 
c2 + c0 = c1
So c2 = c1 - c0. 
The answer is c2.","{'c0': 2.0, 'c1': 41.0}",39,"['c0 =  c1', 'c2 =  c1 - c0. ', 'answer = c2']",1
787,Danny has c0 bottle caps in his collection. He found c1 bottle caps at the park.How many bottle caps does he have now?,65,"Danny started with c0 bottle caps. He found c1 more at the park. So he now has c0 + c1 bottle caps. 
total_bottle_caps = c0 + c1
The answer is total_bottle_caps.","{'c0': 12.0, 'c1': 53.0}",65,"['total_bottle_caps =  c0 + c1', 'answer = total_bottle_caps']",1
788,Allan brought c0 balloons and Jake brought c1 balloons to the park.How many more balloons did Allan have than Jake in the park?,2,"Allan brought c0 balloons and Jake brought c1 balloons. The difference between the number of balloons they brought is c0 - c1. 
balloons_difference = c0 - c1
If the difference is negative, it means Jake brought more balloons. If it's positive, it means Allan brought more balloons. The answer is balloons_difference.","{'c0': 5.0, 'c1': 3.0}",2,"['balloons_difference =  c0 - c1', 'If the difference is negative, it means Jake brought more balloons']",1
789,Winter is almost here and most animals are migrating to warmer countries. There are c0 bird families living near the mountain. If c1 bird families flew away to africa and c2 bird families flew away to asiaHow many more bird families flew away to africa than those that flew away to asia?,11,"c1 bird families flew away to Africa and c2 bird families flew away to Asia. The difference between the two is c1 - c2. 
more_birds_to_africa = c1 - c2
The answer is more_birds_to_africa.","{'c0': 8.0, 'c1': 42.0, 'c2': 31.0}",11,"['more_birds_to_africa =  c1 - c2', 'answer = more_birds_to_africa']",1
790,Zachary did c0 push-ups and c1 crunches in gym class today. David did c2 more push-ups but c3 less crunches than zachary.How many more crunches than push-ups did Zachary do?,12,"Zachary did c0 push-ups and c1 crunches. David did c2 more push-ups, so he did c0 + c2 push-ups. David did c3 less crunches, so he did c1 - c3 crunches. 
Zachary did c1 - c3 more crunches than push-ups. 
crunches_minus_pushups = c1 - c3 - c0
The answer is crunches_minus_pushups.","{'c0': 46.0, 'c1': 58.0, 'c2': 38.0, 'c3': 62.0}",-50,"['crunches_minus_pushups =  c1 - c3 - c0', 'answer = crunches_minus_pushups']",0
791,The Ferris wheel in paradise park has c0 seats. If c1 people can ride the wheel at the same timeHow many people can each seat hold?,5,"The Ferris wheel has c0 seats and c1 people can ride at the same time. So each seat can hold c1/c0 people. 
people_per_seat = c1/c0
The answer is people_per_seat.","{'c0': 4.0, 'c1': 20.0}",5,"['people_per_seat =  c1/c0', 'answer = people_per_seat']",1
792,"Rachel had to complete c0 pages of math homework, c1 pages of reading homework and c2 more pages of biology homework.How many pages did she have to complete in all?",15,"Rachel had c0 pages of math homework, c1 pages of reading homework, and c2 more pages of biology homework. So the total number of pages she had to complete is c0 + c1 + c2. 
total_pages = c0 + c1 + c2
The answer is total_pages.","{'c0': 2.0, 'c1': 3.0, 'c2': 10.0}",15,"['total_pages =  c0 + c1 + c2', 'answer = total_pages']",1
793,For Gwen's birthday she received c0 dollars from her mom. Her dad gave her c1 more dollars. If she spent c2 dollars.How much more money did she receive from her dad than she did from her mom?,3,"Gwen received c0 dollars from her mom and c1 more dollars from her dad. So her dad gave her c1 - c0 dollars more than her mom. 
dad_money = c1
mom_money = c0
money_difference = dad_money - mom_money
The answer is money_difference.","{'c0': 3.0, 'c1': 6.0, 'c2': 4.0}",3,"['dad_money =  c1', 'mom_money =  c0', 'money_difference =  dad_money - mom_money', 'answer = money_difference']",1
794,Baker made c0 cakes. He sold c1 of them. Then he made c2 more cakes.How many cakes would baker still have?,111,"Baker started with c0 cakes. After selling c1, he had c0 - c1 cakes left. 
cakes_left_after_sale = c0 - c1
After making c2 more cakes, he had cakes_left_after_sale + c2 cakes. 
total_cakes = cakes_left_after_sale + c2
The answer is total_cakes.","{'c0': 110.0, 'c1': 75.0, 'c2': 76.0}",111,"['cakes_left_after_sale =  c0 - c1', 'total_cakes =  cakes_left_after_sale + c2', 'answer = total_cakes']",1
795,Baker made c0 pastries and c1 cakes. If he sold c2 cakes and c3 pastriesHow many cakes would baker still have?,59,"Baker started with c1 cakes and sold c2 cakes, so he has c1 - c2 cakes left. 
cakes_left = c1 - c2
Similarly, he started with c0 pastries and sold c3 pastries, so he has c0 - c3 pastries left. 
pastries_left = c0 - c3
The question asks for the number of cakes left, so the answer is cakes_left.","{'c0': 61.0, 'c1': 167.0, 'c2': 108.0, 'c3': 44.0}",17,"['cakes_left =  c1 - c2', 'pastries_left =  c0 - c3']",0
796,There are c0 different books and c1 different movies in the ' crazy silly school ' series. If you read c2 of the books and watched c3 of the moviesHow many more movies than books have you read?,14,"You read c2 books and c3 movies. The number of movies more than books is c3 - c2. 
movies_more_than_books = c3 - c2
The answer is movies_more_than_books.","{'c0': 11.0, 'c1': 17.0, 'c2': 7.0, 'c3': 21.0}",14,"['movies_more_than_books =  c3 - c2', 'answer = movies_more_than_books']",1
797,A mailman gives c0 junk mails to each house in a block. If the mailman has to give c1 pieces of junk mail to each block.How many houses are there in a block?,7,"The mailman gives c0 junk mails to each house in a block. If he has to give c1 pieces of junk mail to each block, then the number of houses in a block is c1/c0. 
houses_in_block = c1/c0
The answer is houses_in_block.","{'c0': 2.0, 'c1': 14.0}",7,"['houses_in_block =  c1/c0', 'answer = houses_in_block']",1
798,Ed had c0 more marbles than Doug. Doug lost c1 of his marbles at the playground. If Ed had c2 marblesHow many marbles does Doug have now?,9,"Ed had c0 more marbles than Doug, so Doug had c2 - c0 marbles. After losing c1 marbles, he has c2 - c0 - c1 marbles left. 
marbles_left = c2 - c0 - c1
The answer is marbles_left.","{'c0': 6.0, 'c1': 7.0, 'c2': 22.0}",9,"['marbles_left =  c2 - c0 - c1', 'answer = marbles_left']",1
799,Dan has $ c0. He bought a candy bar for $ c1 and a chocolate for $ 3.How much money did he spend to buy candy bar than he did to buy chocolate?,3,"Dan spent c1 dollars on the candy bar and 3 dollars on the chocolate. The difference in cost is c1 - 3 dollars. 
difference_in_cost = c1 - 3
The answer is difference_in_cost.","{'c0': 2.0, 'c1': 6.0}",3,"['difference_in_cost =  c1 - 3', 'answer = difference_in_cost']",1
800,A waiter had c0 customers. After some left he still had c1 customers.How many more customers stayed behind than those that left?,5,"The waiter started with c0 customers. After some left, he had c1 customers. So c0 - c1 customers left. 
customers_stayed = c1 - (c0 - c1)
The answer is customers_stayed.","{'c0': 3.0, 'c1': 4.0}",5,"['customers_stayed =  c1 - (c0 - c1)', 'answer = customers_stayed']",1
801,Julia played tag with c0 kids on tuesday. If she played tag with c1 more kids on monday than on tuesdayHow many kids did she play with on monday?,22,"Julia played with c0 kids on tuesday. She played with c1 more kids on monday. So she played with c0 + c1 kids on monday. 
kids_played_monday = c0 + c1
The answer is kids_played_monday.","{'c0': 14.0, 'c1': 8.0}",22,"['kids_played_monday =  c0 + c1', 'answer = kids_played_monday']",1
802,Allan brought c0 balloons to the park. If Jake brought c1 more balloons than the number of balloons that Allan broughtHow many balloons did Jake bring to the park?,11,"Allan brought c0 balloons. Jake brought c1 more balloons than Allan, so Jake brought c0 + c1 balloons. 
balloons_jake = c0 + c1
The answer is balloons_jake.","{'c0': 5.0, 'c1': 6.0}",11,"['balloons_jake =  c0 + c1', 'answer = balloons_jake']",1
803,Jackie has c0 apples. Adam has c1 apples.How many more apples does Jackie have than Adam?,2,"Jackie has c0 apples and Adam has c1 apples. The difference between the number of apples they have is c0 - c1. 
apples_difference = c0 - c1
If the difference is negative, it means Adam has more apples than Jackie. The answer is apples_difference.","{'c0': 10.0, 'c1': 8.0}",2,"['apples_difference =  c0 - c1', 'If the difference is negative, it means Adam has more apples than Jackie']",1
804,Baker made c0 cakes and c1 pastries. If he sold c2 cakes and c3 pastriesHow many more pastries than cakes did baker make?,112,"Baker made c0 cakes and c1 pastries. He sold c2 cakes and c3 pastries. So he has c0-c2 cakes and c1-c3 pastries left. 
cakes_left = c0 - c2
pastries_left = c1 - c3
To find out how many more pastries than cakes he made, we need to subtract cakes_left from pastries_left. 
more_pastries = pastries_left - cakes_left
The answer is more_pastries.","{'c0': 19.0, 'c1': 131.0, 'c2': 70.0, 'c3': 88.0}",94,"['cakes_left =  c0 - c2', 'pastries_left =  c1 - c3', 'more_pastries =  pastries_left - cakes_left', 'answer = more_pastries']",0
805,For Gwen's birthday she received c0 dollars. She spent some money and has c1 dollars left with her.How much money did she spend?,2,"Gwen started with c0 dollars. After spending some money, she had c1 dollars left. So she spent c0 - c1 dollars. 
money_spent = c0 - c1
The answer is money_spent.","{'c0': 7.0, 'c1': 5.0}",2,"['money_spent =  c0 - c1', 'answer = money_spent']",1
806,"c0 red peaches, c1 yellow peaches and c2 green peaches are in the basket.How many red and yellow peaches are in the basket?",32,"There are c0 red peaches and c1 yellow peaches in the basket. So the total number of red and yellow peaches is c0 + c1. 
red_and_yellow_peaches = c0 + c1
The answer is red_and_yellow_peaches.","{'c0': 18.0, 'c1': 14.0, 'c2': 17.0}",32,"['red_and_yellow_peaches =  c0 + c1', 'answer = red_and_yellow_peaches']",1
807,Matthew gave equal numbers of crackers and cakes to his c0 friends. If he had c1 crackers and c2 cakes initiallyHow many crackers did each person eat?,8,"Matthew gave equal numbers of crackers and cakes to his c0 friends, so each friend received (c1 + c2) / c0 crackers and (c1 + c2) / c0 cakes. Since we want to know how many crackers each person ate, we only need to consider the crackers. Therefore, each person ate (c1 + c2) / c0 crackers / c0 friends. Simplifying this expression, we get:
crackers_per_person = (c1 + c2) / c0**2
The answer is crackers_per_person.","{'c0': 4.0, 'c1': 32.0, 'c2': 98.0}",8.125,"['crackers_per_person =  (c1 + c2) / c0**2', 'answer = crackers_per_person']",0
808,He then went to see the oranges being harvested. He found out that they harvested c0 sacks of oranges.How many sacks did they harvest per day if they harvested for a total of c1 days?,4,"If they harvested c0 sacks of oranges in c1 days, then they harvested an average of c0/c1 sacks per day. 
sacks_per_day = c0/c1
The answer is sacks_per_day.","{'c0': 56.0, 'c1': 14.0}",4,"['sacks_per_day =  c0/c1', 'answer = sacks_per_day']",1
809,Adam has c0 more apples than Jackie. Together Adam and Jackie have c1 apples. Bob has c2 apples more than Adam and Jackie together do.How many apples does Bob have?,20,"Let's start by finding out how many apples Adam and Jackie have combined. If Adam has c0 more apples than Jackie, then we can represent Jackie's number of apples as x and Adam's as x + c0. Together they have c1 apples, so we can set up the equation:

x + (x + c0) = c1

Simplifying this equation, we get:

2x + c0 = c1

Solving for x, we get:

x = (c1 - c0) / 2

Now we know how many apples Jackie has. To find out how many Bob has, we add c2 to the total number of apples Adam and Jackie have:

Bob's apples = (x + c0) + x + c2

Substituting in our expression for x, we get:

Bob's apples = ((c1 - c0) / 2 + c0) + (c1 - c0) / 2 + c2

Simplifying this expression, we get:

Bob's apples = c1/2 + c0/2 + c2

The answer is Bob's apples.","{'c0': 4.0, 'c1': 14.0, 'c2': 6.0}",15,"['c0) =  c1', 'x =  (c1 - c0) / 2', 'apples =  (x + c0) + x + c2', 'apples =  ((c1 - c0) / 2 + c0) + (c1 - c0) / 2 + c2', 'apples =  c1/2 + c0/2 + c2', ""answer = Bob's apples""]",0
810,Mary is baking a cake. The recipe calls for c0 cups of flour and c1 cups of sugar. She already put in some cups of flour. If she still needs c2 more cups of flour than sugarHow many more cups of flour does she need to add?,21,"Mary needs c0 cups of flour and c1 cups of sugar for the recipe. She already put in some cups of flour, so she needs c0 - the amount she already put in. 
flour_needed = c0 - amount_already_put_in
She also needs c2 more cups of flour than sugar. So she needs c1 + c2 cups of flour. 
total_flour_needed = c1 + c2
Therefore, she needs total_flour_needed - flour_needed more cups of flour. 
additional_flour_needed = total_flour_needed - flour_needed
The answer is additional_flour_needed.","{'c0': 6.0, 'c1': 13.0, 'c2': 8.0}",,"['flour_needed =  c0 - amount_already_put_in', 'total_flour_needed =  c1 + c2', 'additional_flour_needed =  total_flour_needed - flour_needed', 'answer = additional_flour_needed']",0
811,Winter is almost here and most animals are migrating to warmer countries. c0 bird families flew away for the winter from near a mountain. If there were c1 bird families living near the mountain initiallyHow many bird families were left near the mountain?,14,"Initially, there were c1 bird families near the mountain. c0 bird families flew away for the winter. So c1 - c0 bird families were left near the mountain. 
remaining_bird_families = c1 - c0
The answer is remaining_bird_families.","{'c0': 27.0, 'c1': 41.0}",14,"['remaining_bird_families =  c1 - c0', 'answer = remaining_bird_families']",1
